Picture	Category	GendDiff	AmusMean	AmusSD	AweMean	AweSD	ContMean	ContSD	ExciMean	ExciSD
4599	CE		3.283	1.905	2.867	1.761	4.267	1.812	4.3	1.925
4601	U		3.35	1.858	2.633	1.707	3.767	1.651	3.717	1.896
4603	U		3.1	1.829	2.467	1.396	3.483	1.846	3.117	1.585
4614	U		2.983	1.953	2.333	1.591	3.25	1.622	3.033	1.756
4640	U		2.8	1.912	2.767	1.798	3.683	1.979	3.283	1.932
4641	U		3.117	1.786	2.733	1.706	3.7	1.788	3.65	1.793
4700	C		2.7	1.629	2.7	1.67	3.883	1.757	2.867	1.652
5010	AwC		2	1.328	2.583	1.68	3.367	1.667	2.05	1.268
5201	C		2.033	1.402	2.45	1.63	3.15	1.84	2.133	1.556
5250	U		2.25	1.59	4.05	1.935	3.7	1.889	2.9	1.838
5260	AwCE		2.85	1.885	5	1.766	4.067	1.812	4.233	1.854
5270	AwE		3.117	2.092	4.65	1.981	3.217	1.698	3.983	1.836
5300	Aw		3	2.099	5.567	1.952	3.783	1.941	4.2	2.065
5450	AwE		3.367	2.194	5.133	1.722	3.5	1.742	5.183	1.621
5460	AwE		2.983	2.054	4.683	1.882	3.45	1.741	4.333	1.91
5470	Aw	*	3.217	2.116	5.217	1.658	3.9	1.782	4.467	1.808
5480	AwE		3.9	2.121	5.083	1.7	4.117	1.708	5.133	1.662
5593	AwCE		1.983	1.334	3.85	1.867	3.283	1.552	3.033	1.913
5594	AwC		2.533	1.523	5.267	1.572	4.617	1.474	3.467	1.578
5600	Aw		2.383	1.767	5.067	1.939	4.2	1.83	3.683	2.054
5621	AwE		4.383	2.043	5.5	1.732	3.867	1.882	5.5	1.682
5622	U		3.85	1.99	4.533	1.712	3.283	1.688	4.95	1.578
5623	U		3.967	2.186	4.733	1.858	3.7	1.65	5.25	1.58
5626	AwE		3.733	2.162	5.417	1.74	4	1.727	5.133	1.641
5628	AwCE		3.233	2.174	5.2	1.645	4.2	1.783	4.9	1.773
5629	AwE		3.55	2.135	5.6	1.639	4.167	1.924	5.067	1.812
5660	Aw		2.667	1.81	5.283	1.823	3.983	1.855	4.017	1.827
5700	AwCE		2.6	1.768	4.65	2.015	3.883	1.738	4.05	1.808
5760	AwC		2.633	1.677	3.9	1.92	4.317	1.809	2.917	1.72
5780	AwCE		2.15	1.494	3.517	1.761	4.1	1.724	2.9	1.623
5820	AwCE	*	2.35	1.505	4.267	1.706	3.9	1.753	3.3	1.576
5830	AwC		2.433	1.619	4.1	1.801	4.233	1.845	3.15	1.635
5831	U		4.267	1.784	3.833	1.777	4.467	1.652	3.533	1.662
5870	AwC		1.983	1.334	4.017	1.987	4.1	1.792	2.583	1.465
5875	U		2.6	1.796	2.9	1.801	3.6	1.87	2.25	1.422
5890	Aw		2.667	1.902	4.883	2.116	3.9	1.838	3.683	2.046
5891	AwC		2.117	1.497	4.1	1.866	4.1	1.734	2.583	1.565
5910	AwE		4.1	2.097	5.467	1.535	4.417	1.835	5.467	1.384
5950	AwE		3.367	1.983	5.65	1.538	3	1.697	4.967	1.636
5982	AwC		2.467	1.567	4.683	1.9	4.383	1.606	3.467	1.995
5990	AwC		2.3	1.64	4.55	1.943	4.083	1.871	2.967	1.813
5991	AwC		2.267	1.696	4.167	2.164	4.067	1.765	2.967	1.974
5994	U		3.383	2.092	3.917	2.011	3.8	1.867	4.417	1.925
6250.2	AmCE		3.683	1.953	2.117	1.379	3.05	1.588	2.8	1.774
7195	Am		4.367	1.922	2.2	1.783	2.35	1.459	2.517	1.621
7230	U		2.483	1.827	2.783	1.833	3.717	1.776	3.45	1.908
7325	AmC	*	4.617	1.698	2.617	1.698	4.3	1.898	2.767	1.382
7501	AmAwE		4.233	2.174	4.067	1.831	3.2	1.938	5	1.677
7502	AmCE		4.25	2.072	3.3	2.019	4.133	1.818	4.733	1.726
7510	AwCE		2.367	1.687	4.133	1.855	3.3	1.587	3.75	1.684
7545	AwC		2.383	1.474	3.7	1.942	4.333	1.875	2.667	1.559
7580	Aw		2.7	1.96	5.067	1.885	4	1.85	3.617	1.823
