Picture	Category	GendDiff	AngrMean	AngrSD	DisgMean	DisgSD	FearMean	FearSD	SadnMean	SadnSD
9120	S		1.2	0.8	1.1	0.44	1.23	0.59	1.77	1.21
9140	DS		2.48	2.02	4.37	1.88	1.92	1.59	3.7	1.99
9160	U		2.72	2.1	2.17	1.63	2.8	1.91	2.83	2.03
9180	ADS		2.77	2.21	3.38	1.98	1.72	1.52	3.97	2.07
9181	DS		3.1	2.13	4.32	2.05	1.87	1.51	4.1	1.95
9182	DS		2.58	1.95	3.75	2.01	1.9	1.5	4.17	1.98
9190	S		1.95	1.59	2.17	1.51	1.97	1.31	3.45	1.85
9210	S		1.07	0.41	1.07	0.31	1.1	0.3	1.63	1.22
9230	U		2.6	1.92	2.32	1.57	3.02	1.85	3.13	2.21
9250	U		2.85	1.94	2.88	1.92	2.5	1.65	4.38	1.65
9252	S		4.53	2.27	5.25	1.76	3.48	2.08	4.83	2.08
9270	U		1.9	1.45	1.98	1.51	2.08	1.6	1.88	1.47
9280	U		3.27	2.05	3.83	1.87	2.48	1.74	3.27	1.98
9290	D		2.55	1.86	4.07	1.95	1.72	1.17	2.5	1.7
9300	D		2.35	1.92	6	1.19	2.08	1.55	2.22	1.75
9320	D		2.15	1.9	5.45	1.67	1.58	1.12	1.7	1.32
9330	D		2.57	1.95	3.97	2.01	1.75	1.32	2.97	1.87
9331	S		1.6	1.36	1.85	1.45	1.45	0.93	3.43	1.86
9360	U		1.3	0.91	1.85	1.38	1.53	1.07	1.7	1.27
9373	D		1.95	1.43	4.15	1.99	1.6	1.21	2.02	1.52
9390	D		1.87	1.65	3.15	1.85	1.38	1.04	1.6	1.15
9400	U		3.47	2.27	4.58	1.86	3.02	2	4.38	2.12
9402	U		2.8	1.96	3.07	1.89	2.67	1.84	3.07	2.03
9404	U		3.23	1.99	2.48	1.79	3.25	1.93	3.22	1.92
9405	D		2.75	2.16	5.82	1.66	2.87	2.05	3.45	2.04
9410	S	*	4.33	2	4.72	1.97	3.1	2.22	5.77	1.43
9415	S		2.82	2.08	2.43	1.88	1.97	1.57	4.48	1.91
9420	DS		3.4	2.17	5.18	1.67	3.15	2.07	4.4	1.99
9421	S		2.48	1.94	1.95	1.41	2.28	1.82	4.27	1.76
9430	DS		2.97	2.15	4.07	2.13	2.95	1.97	3.97	1.9
9433	DS	*	3.45	2.08	5.17	1.66	2.8	1.93	4.57	1.79
9440	U		2.22	1.89	3.5	2.14	2.53	1.82	3	2
9470	S		2.75	2.06	2.5	1.87	2.98	1.97	4.1	1.87
9480	U	*	2.42	1.97	3.82	1.98	2.58	1.84	3.18	2.19
9490	D		2.57	2.17	4.82	1.84	3.32	2.13	2.97	2.25
9500	U	*	2.88	2.19	3.82	1.97	2.35	1.74	3.18	2.05
9520	S		3.67	2.01	3.88	1.83	2.42	1.81	4.9	1.56
9530	S		3.48	2.16	3.1	2.01	2.18	1.79	4.85	1.77
9560	ADS		3.58	2.31	3.63	2.16	1.93	1.51	4.05	2.11
9561	S		3.15	2.38	3.43	1.93	1.78	1.46	4.87	1.89
9570	D		3.05	2.3	5.52	1.72	2.4	1.91	4.3	2.2
9571	ADS		3.38	2.39	4.65	1.97	2	1.72	4.75	2
9582	DF		1.22	0.52	2.17	1.57	2.2	1.64	1.27	0.69
9584	DF		1.23	0.53	2.2	1.57	2.22	1.64	1.25	0.63
9592	DF		1.68	1.48	2.9	2.07	3	2.1	1.52	1.23
9594	DF		1.52	1.24	2.78	2.02	2.98	2.02	1.5	1.11
9600	FS		2.25	1.89	2.32	1.93	3.65	2.11	4.37	1.97
9611	S		3	2.16	2.72	1.92	3.58	2.06	4.62	1.83
9620	FS		2.3	1.79	2.1	1.59	3.58	2.1	3.95	2.04
9621	U		2.12	1.83	2.07	1.61	2.6	1.84	3.23	1.89
9622	U		3	2.1	2.57	2.03	3.37	2.07	4.23	1.99
9630	U		2.95	1.99	2.78	2.18	3.32	2.1	3.38	2.25
9800	U		5.3	1.92	5.57	1.76	3.65	2.13	4.57	2.17
9810	ADS		5.63	1.8	5.62	1.88	3.63	2.28	4.97	2.24
9830	D		2.98	2.02	4.47	2.04	1.4	0.85	3.05	2.17
9910	S		2.92	1.96	2.6	1.77	3.25	1.89	4.58	1.75
9911	S		2.32	1.87	2.38	1.65	2.82	1.76	3.78	2.02
9912	S		2.17	1.78	2.03	1.46	2.23	1.68	3	1.82
9920	S		2.45	1.89	2.45	1.65	2.97	1.86	4.42	1.92
9921	S		2.67	2.04	3.18	2.14	3.12	1.98	4.73	1.81
